订单号,产品类别,产品名称,销售数量,单价,客户所在城市,支付方式,订单日期
890779946,电子产品,手机,4,499,武汉,微信支付,2025-10-22
200604502,图书,教材,-7,199,"",支付宝,2025.10.08
550455977,图书,考试资料,9,-15,成都,京东白条,2025-10-15
398362082,图书,工具书,3,15,郑州,银行卡,2025-10-07
398362082,家居用品,枕头,7,-29,深圳,银行卡,2025-12-09
692749116,电子产品,键盘,2,4999,长沙,支付宝,2025-11-27
810026086,图书,绘本,4,199,,支付宝,2025-10-25
586845604,家居用品,枕头,2,59,长沙,银行卡,2025-12-27
853573823,家居用品,被子,6,129,成都,银行卡,2025-12-21
596348124,电子产品,钢化膜,9,299,武汉,微信支付,2025-11-09
964411347,图书,漫画,1,79,武汉,支付宝,2025-11-13
803771909,家居用品,枕头,10,59,苏州,微信支付,2025-11-13
678722458,食品,饼干,3,39,武汉,京东白条,2025-11-24
248532577,图书,传记,7,199,天津,微信支付,2025-12-16
740389325,电子产品,手机,3,199,南京,花呗,2025-10-13
112327652,食品,矿泉水,9,89,西安,京东白条,2025-12-24
566825638,电子产品,智能手表,6,499,深圳,银行卡,2025-10-15
771410971,电子产品,充电宝,3,4999,厦门,支付宝,2025-11-27
679153816,图书,考试资料,3,45,天津,微信支付,2025-12-01
992994062,图书,绘本,1,129,深圳,银行卡,2025-11-08
976198296,电子产品,耳机,2,5999,广州,花呗,2025-10-25
384602384,图书,杂志,8,35,福州,微信支付,2025-12-28
528414718,图书,传记,9,45,成都,银行卡,2025-12-21
341266931,家居用品,毛巾,8,399,深圳,微信支付,2025-10-11
107721109,电子产品,钢化膜,4,4999,合肥,微信支付,2025-10-23
652070932,电子产品,耳机,1,199,苏州,支付宝,2025-10-09
607526654,食品,坚果,3,129,合肥,京东白条,2025-10-26
480424119,食品,茶叶,2,25,深圳,花呗,2025-11-14
959629660,食品,牛奶,1,9,长沙,银行卡,2025-10-08
297018781,服装,外套,8,699,杭州,花呗,2025-11-15
800235246,服装,牛仔裤,9,499,深圳,支付宝,2025-12-27
616854671,电子产品,笔记本电脑,3,399,郑州,花呗,2025-10-28
384759615,食品,牛奶,7,15,北京,花呗,2025-11-10
333754555,食品,薯片,3,89,成都,银行卡,2025-10-19
611947770,图书,小说,1,79,上海,京东白条,2025-12-28
173574218,图书,杂志,9,15,广州,微信支付,2025-12-03
738360085,服装,帽子,10,59,武汉,京东白条,2025-10-20
379995032,电子产品,鼠标,10,5999,厦门,银行卡,2025-10-22
590941149,家居用品,台灯,7,89,杭州,银行卡,2025-11-25
178663096,电子产品,手机,10,2999,合肥,支付宝,2025-12-07
496776692,图书,工具书,6,35,广州,微信支付,2025-11-06
817112652,食品,薯片,10,39,厦门,支付宝,2025-12-10
266910922,电子产品,平板电脑,2,499,深圳,京东白条,2025-11-10
624557080,图书,漫画,4,79,西安,京东白条,2025-11-28
458153605,电子产品,笔记本电脑,5,1299,上海,支付宝,2025-10-21
110382761,家居用品,被子,9,299,郑州,京东白条,2025-10-03
259014493,服装,西装裤,6,39,合肥,京东白条,2025-11-05
832363533,电子产品,充电宝,1,899,天津,微信支付,2025-10-22
354194771,电子产品,数据线,7,4999,济南,微信支付,2025-10-26
961393416,服装,帽子,3,39,苏州,花呗,2025-12-28
605399561,服装,运动鞋,2,89,长沙,支付宝,2025-10-07
808705238,食品,咖啡,4,39,武汉,支付宝,2025-10-13
529151399,家居用品,收纳箱,5,29,天津,京东白条,2025-12-27
723403479,图书,绘本,2,15,西安,微信支付,2025-11-02
750911797,电子产品,钢化膜,6,1299,苏州,花呗,2025-12-04
101815992,食品,矿泉水,5,25,上海,花呗,2025-12-26
769108025,图书,漫画,7,79,广州,银行卡,2025-11-22
532074125,电子产品,充电宝,5,4999,郑州,银行卡,2025-12-10
760904107,图书,杂志,7,45,长沙,微信支付,2025-12-10
561588882,食品,薯片,5,5,重庆,微信支付,2025-12-20
608079792,家居用品,毛巾,8,299,成都,京东白条,2025-12-06
978775497,电子产品,充电宝,10,4999,苏州,支付宝,2025-10-22
362897676,家居用品,台灯,3,59,北京,支付宝,2025-11-20
630833445,电子产品,键盘,10,1299,成都,花呗,2025-11-08
963406382,服装,T恤,7,59,武汉,微信支付,2025-12-17
243171768,食品,牛奶,4,129,深圳,花呗,2025-11-22
975106572,图书,科普书,6,199,青岛,京东白条,2025-12-17
378304807,食品,薯片,3,89,大连,花呗,2025-10-27
183197117,家居用品,拖鞋,4,299,西安,花呗,2025-12-10
248578017,服装,运动鞋,6,299,福州,支付宝,2025-10-08
455281184,食品,饼干,2,25,郑州,花呗,2025-12-15
846812123,食品,牛奶,7,25,长沙,京东白条,2025-10-28
909037759,图书,传记,1,129,天津,银行卡,2025-11-28
335602191,食品,薯片,10,129,武汉,花呗,2025-11-14
601856351,食品,牛奶,6,69,长沙,微信支付,2025-10-20
190137896,图书,小说,10,99,合肥,支付宝,2025-12-14
451492250,服装,围巾,1,89,西安,花呗,2025-10-15
996478772,家居用品,晾衣架,5,199,郑州,银行卡,2025-10-16
938842599,电子产品,智能手表,6,99,武汉,支付宝,2025-12-02
356135680,电子产品,耳机,1,399,济南,微信支付,2025-10-16
280162221,电子产品,钢化膜,8,399,西安,银行卡,2025-12-20
434961542,电子产品,平板电脑,2,499,合肥,支付宝,2025-12-22
209415691,食品,茶叶,2,25,合肥,微信支付,2025-12-25
672030854,家居用品,地毯,10,29,上海,银行卡,2025-11-22
982971099,家居用品,枕头,6,399,北京,花呗,2025-11-04
887906704,食品,咖啡,3,89,郑州,微信支付,2025-12-21
986625773,家居用品,地毯,8,399,青岛,花呗,2025-12-19
361846370,家居用品,晾衣架,2,59,西安,花呗,2025-11-19
295249057,图书,传记,1,79,大连,银行卡,2025-11-07
696776072,家居用品,收纳箱,5,129,济南,银行卡,2025-10-17
914073098,服装,牛仔裤,7,129,大连,京东白条,2025-10-23
337937327,食品,巧克力,1,89,广州,银行卡,2025-11-23
670073085,服装,运动鞋,6,899,大连,京东白条,2025-11-14
369942642,图书,绘本,8,79,西安,银行卡,2025-10-04
332341238,服装,袜子,9,59,南京,微信支付,2025-12-16
994027897,家居用品,地毯,10,399,重庆,支付宝,2025-10-10
235917419,服装,袜子,5,89,北京,京东白条,2025-11-02
113169872,电子产品,智能手表,3,499,大连,支付宝,2025-12-10
371096600,食品,巧克力,6,89,南京,支付宝,2025-11-04
262915636,电子产品,鼠标,2,2999,合肥,支付宝,2025-10-26
920814900,图书,工具书,4,25,深圳,京东白条,2025-11-20
575368059,图书,考试资料,9,45,长沙,花呗,2025-11-28
754586204,图书,传记,10,59,济南,支付宝,2025-12-04
286630878,服装,外套,2,199,南京,微信支付,2025-12-03
412737284,服装,T恤,8,399,济南,花呗,2025-10-08
945923902,家居用品,收纳箱,2,299,武汉,银行卡,2025-12-19
385220694,服装,帽子,9,59,武汉,微信支付,2025-10-03
571537429,电子产品,平板电脑,10,499,合肥,银行卡,2025-10-15
570040006,家居用品,水杯,9,89,福州,花呗,2025-10-20
198061499,电子产品,鼠标,10,899,西安,支付宝,2025-10-22
919382051,图书,考试资料,5,15,合肥,支付宝,2025-10-16
781594897,图书,历史书,3,59,合肥,花呗,2025-11-03
272684373,食品,咖啡,6,69,苏州,支付宝,2025-11-14
194553481,食品,方便面,9,69,上海,花呗,2025-11-09
596043327,家居用品,枕头,9,199,北京,京东白条,2025-11-02
916033628,服装,西装裤,10,299,大连,花呗,2025-10-07
230380269,家居用品,拖鞋,5,39,青岛,花呗,2025-10-21
692975437,图书,漫画,5,35,福州,支付宝,2025-11-03
869446962,服装,牛仔裤,2,499,杭州,花呗,2025-11-17
691916368,家居用品,水杯,8,299,武汉,花呗,2025-10-13
929653607,服装,手套,3,699,广州,银行卡,2025-11-11
722687986,图书,工具书,5,15,重庆,京东白条,2025-12-16
692616814,服装,围巾,8,699,天津,银行卡,2025-12-13
350785761,食品,咖啡,4,25,合肥,花呗,2025-11-02
139749508,家居用品,毛巾,7,199,杭州,花呗,2025-10-17
590622789,图书,绘本,8,25,深圳,京东白条,2025-10-24
463527356,服装,帽子,2,89,大连,银行卡,2025-12-23
773020489,食品,面包,9,49,长沙,银行卡,2025-12-25
777703980,食品,薯片,10,5,广州,微信支付,2025-12-10
278632824,服装,牛仔裤,2,399,深圳,花呗,2025-12-10
502482554,电子产品,手机,1,899,重庆,银行卡,2025-11-05
287979290,服装,西装裤,10,399,南京,微信支付,2025-10-20
349310440,食品,矿泉水,8,25,合肥,微信支付,2025-11-21
827579147,家居用品,毛巾,1,89,青岛,银行卡,2025-12-06
841218491,电子产品,键盘,10,899,重庆,花呗,2025-11-15
509486794,家居用品,台灯,8,199,深圳,微信支付,2025-12-12
108695125,图书,工具书,1,59,长沙,银行卡,2025-12-28
961067882,电子产品,钢化膜,5,2999,武汉,京东白条,2025-11-08
431714152,服装,手套,3,199,深圳,支付宝,2025-11-02
902601465,图书,绘本,2,35,重庆,银行卡,2025-11-06
392624015,服装,连衣裙,6,699,厦门,京东白条,2025-10-09
251136695,食品,方便面,2,49,青岛,支付宝,2025-10-28
383960237,食品,薯片,2,49,长沙,支付宝,2025-12-04
216335741,食品,咖啡,10,39,长沙,银行卡,2025-12-08
337691219,食品,牛奶,9,199,苏州,京东白条,2025-12-03
139956218,食品,方便面,2,69,杭州,支付宝,2025-11-16
587096273,电子产品,笔记本电脑,9,399,杭州,花呗,2025-11-22
995171130,图书,传记,3,199,郑州,支付宝,2025-11-20
577488537,食品,方便面,6,5,成都,花呗,2025-10-28
527499187,家居用品,枕头,9,129,天津,支付宝,2025-11-07
154308262,电子产品,键盘,4,199,济南,支付宝,2025-11-08
729624046,服装,手套,2,129,福州,微信支付,2025-10-27
255357534,服装,袜子,10,89,北京,银行卡,2025-10-18
484659715,家居用品,被子,1,29,杭州,支付宝,2025-10-19
896413702,家居用品,床垫,5,39,上海,微信支付,2025-11-17
737444033,电子产品,笔记本电脑,8,2999,天津,京东白条,2025-10-15
591819409,图书,漫画,1,199,厦门,银行卡,2025-12-01
864935082,电子产品,键盘,7,1299,深圳,花呗,2025-11-03
395296179,电子产品,数据线,3,5999,广州,微信支付,2025-12-21
416644047,图书,科普书,7,79,济南,京东白条,2025-11-17
561784080,图书,传记,2,25,福州,微信支付,2025-11-08
435596237,食品,咖啡,7,89,郑州,支付宝,2025-11-11
993108266,家居用品,晾衣架,8,39,广州,支付宝,2025-10-03
729712082,食品,面包,3,49,福州,支付宝,2025-12-18
408839723,家居用品,枕头,6,199,郑州,支付宝,2025-12-10
805165232,家居用品,枕头,9,599,成都,微信支付,2025-11-08
716435189,电子产品,数据线,6,4999,深圳,银行卡,2025-10-26
753903309,食品,薯片,10,199,福州,支付宝,2025-12-27
476908532,家居用品,床垫,5,39,重庆,银行卡,2025-10-06
198524063,服装,手套,2,399,杭州,支付宝,2025-12-17
497341481,服装,帽子,8,399,苏州,微信支付,2025-11-24
269017588,家居用品,地毯,2,599,上海,微信支付,2025-12-02
574641329,电子产品,充电宝,7,2999,大连,京东白条,2025-11-09
404133583,服装,西装裤,6,59,郑州,支付宝,2025-12-22
524410834,图书,历史书,5,159,上海,微信支付,2025-12-02
410791488,电子产品,耳机,4,499,杭州,银行卡,2025-11-04
671855941,电子产品,键盘,3,1299,杭州,花呗,2025-12-08
568387228,图书,科普书,2,79,长沙,支付宝,2025-10-15
861818706,电子产品,数据线,7,5999,合肥,花呗,2025-12-14
960413104,家居用品,枕头,1,199,苏州,微信支付,2025-12-15
732295732,家居用品,枕头,2,199,武汉,花呗,2025-11-17
936571442,电子产品,鼠标,6,499,武汉,银行卡,2025-10-03
476990466,图书,教材,9,159,成都,银行卡,2025-12-27
286293158,服装,外套,3,59,西安,微信支付,2025-12-05
582008349,电子产品,平板电脑,8,2999,合肥,京东白条,2025-12-19
603500181,图书,绘本,3,79,青岛,支付宝,2025-11-21
179661615,家居用品,收纳箱,1,599,天津,京东白条,2025-11-15
792205349,食品,牛奶,6,5,重庆,支付宝,2025-10-20
950207886,图书,科普书,8,99,合肥,京东白条,2025-12-02
638339044,食品,矿泉水,6,25,济南,花呗,2025-10-02
142028540,食品,面包,2,49,厦门,微信支付,2025-10-23
490732457,食品,巧克力,9,129,济南,微信支付,2025-11-10
170772317,食品,茶叶,10,49,上海,银行卡,2025-11-04
457944766,图书,传记,5,59,济南,微信支付,2025-10-19
861104727,服装,袜子,7,199,杭州,京东白条,2025-10-10
793663866,图书,传记,3,79,厦门,支付宝,2025-12-14
329987621,图书,绘本,6,15,重庆,微信支付,2025-11-25
417604347,食品,坚果,3,25,杭州,支付宝,2025-10-17
741288486,图书,科普书,6,15,济南,微信支付,2025-11-05
541156077,服装,连衣裙,3,899,青岛,支付宝,2025-11-22
673390109,服装,围巾,5,899,青岛,微信支付,2025-10-10
926178355,食品,坚果,10,49,青岛,花呗,2025-11-25
960345542,食品,薯片,7,129,南京,微信支付,2025-12-05
863860982,家居用品,床垫,6,299,福州,支付宝,2025-12-28
651208305,电子产品,充电宝,3,199,西安,花呗,2025-10-27
545492166,食品,面包,8,25,天津,支付宝,2025-10-13
341096660,图书,绘本,7,45,广州,银行卡,2025-10-11
990949719,电子产品,数据线,3,299,上海,银行卡,2025-11-23
120405269,服装,围巾,10,499,北京,支付宝,2025-11-07
933409017,服装,西装裤,9,899,郑州,支付宝,2025-11-08
590822013,家居用品,枕头,4,19,郑州,京东白条,2025-10-04
359779090,食品,矿泉水,1,129,厦门,京东白条,2025-12-05
712745501,家居用品,水杯,10,19,天津,微信支付,2025-11-06
644738967,电子产品,智能手表,2,899,厦门,京东白条,2025-12-18
372354893,电子产品,鼠标,1,2999,长沙,银行卡,2025-12-01
889401015,家居用品,枕头,4,129,深圳,京东白条,2025-11-05
846668526,电子产品,数据线,6,4999,南京,花呗,2025-11-21
316456682,服装,连衣裙,8,59,上海,银行卡,2025-10-26
975535611,服装,T恤,5,299,厦门,花呗,2025-12-16
804086195,家居用品,床垫,5,59,天津,支付宝,2025-11-09
464037804,电子产品,数据线,7,1299,青岛,花呗,2025-10-16
184747224,食品,咖啡,5,129,广州,花呗,2025-11-20
452101316,服装,西装裤,6,199,深圳,支付宝,2025-12-10
477470703,家居用品,毛巾,7,599,南京,花呗,2025-11-02
820678212,家居用品,地毯,5,199,上海,支付宝,2025-12-13
828092377,家居用品,拖鞋,1,39,杭州,京东白条,2025-11-02
709074302,服装,牛仔裤,6,129,天津,花呗,2025-10-20
716243819,服装,围巾,6,299,青岛,支付宝,2025-10-17
